label,name,latitude,longitude,bbox_size_meters,zone_type,note,file_name,image_path,local_image_path,source_image_path,source_api,source_layer,source_date,request_bbox_meters,request_params,visual_density_class,label_index,built_ratio,mean_red,mean_green,mean_blue,brightness,contrast,vegetation_index,water_index,built_up_proxy,texture,grayness,split
baixa,sahara,23.4162,25.6628,9000,deserto,Area desertica sem ocupacao urbana relevante.,sahara_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\sahara_2025-05-01.png,data\raw_images\sahara_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,9000,"{""bbox"": ""25.618747973454195,23.375775997125405,25.706852026545807,23.456624002874594"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",baixa,0,0.14130577273906966,158.112548828125,139.936279296875,100.907958984375,132.985595703125,25.775737762451172,-0.06098420062573483,-0.2208496552054898,-0.03869422726093033,17.06151008605957,0.8205425900866873,train
baixa,chapada_diamantina,-12.5564,-41.3924,9000,area_natural,Paisagem natural predominante.,chapada_diamantina_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\chapada_diamantina_2025-05-01.png,data\raw_images\chapada_diamantina_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,9000,"{""bbox"": ""-41.4338145359315,-12.596824002874596,-41.3509854640685,-12.515975997125404"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",baixa,0,0.07321548363762496,71.241943359375,83.90283203125,64.183349609375,73.109375,28.401275634765625,0.0816069290066728,-0.052121679744917264,-0.10678451636237503,12.402270317077637,0.8884134694179295,train
alta,chicago_loop,41.8789,-87.6359,2500,centro_vertical,Centro urbano com forte presenca construida.,chicago_loop_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\chicago_loop_2025-05-01.png,data\raw_images\chicago_loop_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,2500,"{""bbox"": ""-87.65098129415301,41.867671110312614,-87.620818705847,41.89012888968739"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",alta,2,0.8087366088659061,124.835693359375,123.825439453125,107.7998046875,118.8203125,38.1573486328125,-0.004062773682331538,-0.07322996195408685,-0.03126339113409381,44.22341537475586,0.9343245086459351,train
media,lyon,45.764,4.8357,7000,urbano_misto,Centro urbano europeu intermediario.,lyon_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\lyon_2025-05-01.png,data\raw_images\lyon_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,7000,"{""bbox"": ""4.7906309110443654,45.732559108875314,4.880769088955635,45.79544089112469"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",media,1,0.4416868274742798,89.896728515625,98.522705078125,78.527587890625,88.98233795166016,18.970699310302734,0.04578071591405273,-0.06750296433979219,-0.07831317252572025,17.330217361450195,0.9079756813806843,train
alta,mumbai_colaba,18.9067,72.8147,3000,centro_metropolitano,Ocupacao urbana intensa.,mumbai_colaba_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\mumbai_colaba_2025-05-01.png,data\raw_images\mumbai_colaba_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,3000,"{""bbox"": ""72.80045688008333,18.893225332375135,72.82894311991667,18.920174667624867"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",alta,2,0.7648526618782905,78.064697265625,93.842041015625,83.383056640625,85.09659576416016,14.920500755310059,0.09177850680448318,0.03294167460365453,-0.07514733812170951,11.026348114013672,0.9229810818662513,train
baixa,amazonas_forest,-3.4653,-62.2159,9000,floresta,Cobertura vegetal dominante.,amazonas_forest_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\amazonas_forest_2025-05-01.png,data\raw_images\amazonas_forest_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,9000,"{""bbox"": ""-62.256398049989116,-3.505724002874596,-62.17540195001088,-3.424875997125404"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",baixa,0,0.0,42.42138671875,65.966796875,39.863037109375,49.41707229614258,1.958018183708191,0.21723226068930432,-0.031091541874412872,-0.2317693463923982,1.35208261013031,0.7622494245044806,train
alta,dubai_marina,25.08,55.14,2500,centro_vertical,Concentracao vertical costeira.,dubai_marina_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\dubai_marina_2025-05-01.png,data\raw_images\dubai_marina_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,2500,"{""bbox"": ""55.1276022069238,25.06877111031261,55.152397793076204,25.091228889687386"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",alta,2,0.7773987215476664,78.45166015625,83.28857421875,68.498291015625,76.74617767333984,50.739463806152344,0.02990544734210291,-0.06773305510191051,-0.0626012784523335,43.68739318847656,0.9197698116049313,train
alta,paris_ladefense,48.8919,2.237,2500,centro_empresarial,Regiao empresarial muito construida.,paris_ladefense_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\paris_ladefense_2025-05-01.png,data\raw_images\paris_ladefense_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,2500,"{""bbox"": ""2.219921367298623,48.88067111031261,2.2540786327013773,48.90312888968739"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",alta,2,0.7632350710069098,84.18408203125,94.173095703125,77.306884765625,85.22135162353516,24.45876693725586,0.05600567242766899,-0.042585646749203954,-0.07676492899309019,24.18889808654785,0.9187462288205143,train
media,montreal,45.5017,-73.5673,7000,urbano_misto,Malha urbana consolidada com densidade moderada.,montreal_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\montreal_2025-05-01.png,data\raw_images\montreal_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,7000,"{""bbox"": ""-73.61215864585344,45.47025910887531,-73.52244135414657,45.53314089112469"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",media,1,0.455769244114454,81.41015625,86.126953125,70.05126953125,79.19612884521484,36.45353698730469,0.02815374392165743,-0.07499524489096819,-0.06423075588554601,21.916122436523438,0.9148062337855748,train
baixa,serengeti,-2.3333,34.8333,9000,area_natural,Paisagem natural aberta.,serengeti_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\serengeti_2025-05-01.png,data\raw_images\serengeti_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,9000,"{""bbox"": ""34.792842453853815,-2.373724002874596,34.87375754614619,-2.292875997125404"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",baixa,0,0.1399013123715409,102.4599609375,92.83642578125,68.896484375,88.06429290771484,9.517020225524902,-0.04927656531411545,-0.19586935582920229,-0.0400986876284591,6.3596391677856445,0.8397577634578056,train
media,brasilia_eixo,-15.7939,-47.8828,8000,urbano_planejado,Area planejada de densidade intermediaria.,brasilia_eixo_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\brasilia_eixo_2025-05-01.png,data\raw_images\brasilia_eixo_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,8000,"{""bbox"": ""-47.920142229053816,-15.82983244699964,-47.84545777094619,-15.757967553000361"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",media,1,0.4623499757107955,90.534423828125,87.4326171875,65.267822265625,81.07828521728516,29.875370025634766,-0.01742910722541248,-0.1621709711789056,-0.05765002428920452,20.271190643310547,0.8612307206476865,train
media,sao_paulo_centro_amplo,-23.5505,-46.6333,7000,urbano_misto,"Area urbana ampla com vias, construcoes e vegetacao.",sao_paulo_centro_amplo_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\sao_paulo_centro_amplo_2025-05-01.png,data\raw_images\sao_paulo_centro_amplo_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,7000,"{""bbox"": ""-46.66759759755646,-23.581940891124685,-46.59900240244354,-23.519059108875314"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",media,1,0.47493286162381465,96.444091796875,95.196533203125,77.528076171875,89.722900390625,19.42485237121582,-0.006509885853716565,-0.1087301253112539,-0.04506713837618534,20.610891342163086,0.9037250146348557,train
alta,new_york_midtown,40.758,-73.9855,2500,centro_vertical,Centro urbano vertical e muito adensado.,new_york_midtown_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\new_york_midtown_2025-05-01.png,data\raw_images\new_york_midtown_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,2500,"{""bbox"": ""-74.00032412880194,40.746771110312615,-73.97067587119807,40.76922888968739"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",alta,2,0.776023262576526,89.1943359375,97.616943359375,82.560791015625,89.79068756103516,32.373565673828125,0.04508618244639917,-0.03862210717761683,-0.06397673742347393,34.801612854003906,0.9313837952895426,train
media,goiania,-16.6869,-49.2648,7000,urbano_misto,Padrao intermediario entre ocupacao e vegetacao.,goiania_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\goiania_2025-05-01.png,data\raw_images\goiania_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,7000,"{""bbox"": ""-49.29762313328844,-16.718340891124686,-49.23197686671156,-16.655459108875316"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",media,1,0.48981429641162944,100.26708984375,94.808837890625,78.238525390625,91.10482025146484,17.590200424194336,-0.02798014094428618,-0.12340544258491697,-0.03018570358837059,19.035675048828125,0.8971870191520528,train
alta,seoul_gangnam,37.4979,127.0276,2500,centro_metropolitano,Distrito urbano consolidado.,seoul_gangnam_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\seoul_gangnam_2025-05-01.png,data\raw_images\seoul_gangnam_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,2500,"{""bbox"": ""127.01344669234724,37.486671110312614,127.04175330765277,37.50912888968739"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",alta,2,0.7963514432337675,85.970458984375,87.6904296875,74.740478515625,82.80045318603516,25.534975051879883,0.009904191532013698,-0.06987688979196721,-0.04364855676623248,32.04152297973633,0.9306482394931699,train
media,lisbon,38.7223,-9.1393,7000,urbano_misto,Area urbana com relevo e espacos abertos.,lisbon_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\lisbon_2025-05-01.png,data\raw_images\lisbon_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,7000,"{""bbox"": ""-9.179599173382952,38.69085910887531,-9.099000826617049,38.753740891124686"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",media,1,0.44258625179816513,80.78271484375,89.89697265625,73.17431640625,81.28466796875,43.65843200683594,0.05339978028707137,-0.04941897343195106,-0.07741374820183486,17.07259178161621,0.9158978407165225,train
alta,santiago_centro,-33.4489,-70.6693,2500,centro_metropolitano,Centro urbano consolidado.,santiago_centro_2025-05-01.png,C:\repositorio\Fiap\space_urban_density_acv\data\raw_images\santiago_centro_2025-05-01.png,data\raw_images\santiago_centro_2025-05-01.png,ArcGIS World Imagery,ArcGIS World Imagery,World_Imagery,2025-05-01,2500,"{""bbox"": ""-70.68275780108117,-33.46012888968739,-70.65584219891885,-33.437671110312614"", ""bboxSR"": 4326, ""imageSR"": 4326, ""size"": ""1024,1024"", ""format"": ""png"", ""f"": ""image""}",alta,2,0.8065551696911941,105.2646484375,103.583984375,88.494384765625,99.11434173583984,28.071989059448242,-0.008047283047949817,-0.08655216427214812,-0.033444830308805885,32.37560272216797,0.92391896221865,train
